,2 words
virtual reality,25
laboratory works,9
virtual laboratory,8
game engine,7
reality technology,7
Unity 3D,7
base station,7
air quality,5
et al,4
Studying Physics,4
Technology Studying,4
practical tasks,4
air pollution,4
state environment,4
Internet things,4
local station,4
virtual physical,4
Technology University,3
state atmospheric,3
academic programs,3
physics secondary,3
engine Unity,3
educational process,3
environmental monitoring,3
LPWAN technology,3
observations state,3
educational software,3
coefficient viscosity,3
physical experiments,3
information technologies,3
Daineko et,3
virtual laboratories,3
processing data,3
emissions pollutants,3
into atmosphere,3
educational institutions,3
viscosity liquids,3
using virtual,3
Physical experiment,3
shown Fig,3
laboratory work,3
games development,3
study physics,3
control points,2
learning process,2
Code Republic,2
network fragment,2
physics course,2
atmospheric air,2
set practical,2
pp Springer,2
solve problems,2
RSE Kazhydromet,2
power consumption,2
pollutants into,2
monitor air,2
create software,2
distinguishing features,2
Diffraction electrons,2
LPWAN technologies,2
low power,2
LoRa technology,2
Phd candidate,2
Torque 2D3D,2
Figure shows,2
data emissions,2
pollution control,2
Unity UDK,2
environmental systems,2
large number,2
speed bullet,2
Russian English,2
liquids Stokes,2
Malus law,2
law study,2
study elliptically,2
elliptically polarized,2
Almaty Kazakhstan,2
sensitivity receiver,2
storage server,2
battery life,2
physical processes,2
data transmission,2
climatic ecological,2
user interface,2
Kazakh Russian,2
3D models,2
learning systems,2
make possible,2
Republic Kazakhstan,2
teaching physics,2
reality learning,2
work done,2
done under,1
conduct physical,1
under funding,1
funding Ministry,1
physical laboratory,1
good example,1
mobile games,1
Mathematics School,1
Physics Mathematics,1
Zhibek Sarsenova,1
Viktor Pyagay,1
candidate Data,1
Data analysis,1
three languages,1
tasks were,1
features presented,1
Fig Main,1
Main menu,1
using controller,1
3D scene,1
Main launcher,1
models resources,1
scripts prefabs,1
Main Launcher,1
Fig Component,1
Component diagram,1
methodtype type,1
Menu Controller,1
developed virtual,1
Republican Physics,1
Ministry Education,1
attention paid,1
Education Science,1
point view,1
learning environments,1
education create,1
process help,1
results showed,1
showed learning,1
medical education,1
training research,1
research field,1
emergency situations,1
Studies shown,1
immersion virtual,1
immersive virtual,1
learning environment,1
high level,1
level knowledge,1
VR technology,1
authors developed,1
environment article,1
teaching methods,1
development educational,1
educational games,1
help students,1
students study,1
study various,1
allows creating,1
development environment,1
using computer,1
gifted students,1
students teachers,1
Science Republic,1
real environment,1
Republic No,1
No AP05135692,1
Nour SM,1
Madina Ipalakova,1
Ipalakova Dana,1
Dana Tsoy,1
Yersultanbek Yelgondy,1
technologies like,1
computerbased learning,1
secondary schools,1
physics sections,1
special attention,1
Associate professor,1
example process,1
augmented reality,1
information technology,1
secondary higher,1
learning tools,1
technologies particular,1
being studied,1
software set,1
secondary educational,1
University Almaty,1
human activity,1
education well,1
digital technologies,1
virtual environment,1
Mathematical modelling,1
air pollutants,1
Saule Amanzholova,1
game engines,1
physical laboratories,1
observations carried,1
air carried,1
automatic posts,1
help user,1
based game,1
dust meter,1
Atmospheric pollution,1
technologies used,1
data certain,1
collection processing,1
primary processing,1
current state,1
necessary information,1
information user,1
subsystems enterprise,1
enterprise management,1
management thirdparty,1
thirdparty ‘monitoring,1
‘monitoring emissions,1
emissions users,1
processing series,1
tasks solved,1
series data,1
industrial enterprises,1
radio access,1
technologies Internet,1
natural disasters,1
wide range,1
powerful game,1
levels design,1
engine created,1
meets requirements,1
general physics,1
technical academic,1
developed applications,1
used teaching,1
physics students,1
programming language,1
Determination coefficient,1
Stokes method,1
set initial,1
initial values,1
values input,1
possible choose,1
user perform,1
methodical material,1
Measurement speed,1
Verification Malus,1
polarized light,1
software complex,1
Institute Technology,1
MIT Media,1
possible create,1
carbon dioxide,1
national parks,1
Nurzhan Duzbayev,1
mobile communication,1
electronic processing,1
processing devices,1
through web,1
based ARM,1
Figure diagram,1
diagram network,1
based LoRa,1
significant advantage,1
Lora Alliance,1
LoRa network,1
data rate,1
sends data,1
data obtained,1
data processing,1
processing storage,1
mobile application,1
environmental meteorological,1
times day,1
weather conditions,1
ecological changes,1
Environmental Code,1
Nizhny Novgorod,1
geographic information,1
Kulyanda Duisebekova,1
Altay Aitmagambetov,1
parameters electronic,1
data collectors,1
modern communication,1
environmental situation,1
communication technologies,1
Air Quality,1
Quality Egg,1
monitor changes,1
organic compounds,1
other examples,1
many other,1
choice environmental,1
systems using,1
meters gas,1
IoT applications,1
data over,1
due high,1
more than,1
technologies LPWAN,1
wireless technologies,1
forest fires,1
two main,1
Low Power,1
Power Wide,1
Wide Area,1
startype network,1
state atmosphere,1
meteorological conditions,1
assessment environmental,1
device uses,1
